1.5708,0,0+0i,0,0.83333,1,Hb
-0.080216,1.5687,1.5708-1.0215i,0.02,0.11667,2,Hb
-0.44953,1.5051,1.5708-0.96697i,0.02,0.61667,2,Hb
1.5708,0,0+0i,0,0.83333,2,Hb
0.51731,1.4832,1.5708-0.94721i,0.02,0.033333,3,Hb
0.41796,1.5142,1.5708-0.97499i,0.02,0.53333,3,Hb
1.5708,0,0+0i,0,0.83333,3,Hb
1.3548,-0.79501,-0.91903+0i,0.02,0.016667,4,Hb
1.3917,-0.72843,-0.81603+0i,0.02,0.51667,4,Hb
1.5708,0,0+0i,0,0.83333,4,Hb
1.5708,0,0+0i,0,0.83333,5,Hb
1.5708,0,0+0i,0,0.83333,6,Hb
-0.19019,-1.5592,-1.5708+1.0136i,0.02,0.016667,7,Hb
-0.56833,1.4644,1.5708-0.92986i,0.02,0.05,7,Hb
-0.3084,-1.5402,-1.5708+0.99757i,0.02,0.51667,7,Hb
1.5708,0,0+0i,0,0.83333,7,Hb
1.5708,0,0+0i,0,0.83333,8,HbO2
1.5708,0,0+0i,0,0.83333,9,HbO2
-0.38443,-1.523,-1.5708+0.98274i,0.02,0.05,10,HbO2
-0.55418,-1.4698,-1.5708+0.9349i,0.02,0.55,10,HbO2
0.54159,1.4745,1.5708-0.93924i,0.02,0.6,10,HbO2
1.5708,0,0+0i,0,0.83333,10,HbO2
-0.010764,1.5708,1.5708-1.0232i,0.02,0.16667,11,HbO2
-0.2105,1.5566,1.5708-1.0114i,0.02,0.66667,11,HbO2
1.5708,0,0+0i,0,0.83333,11,HbO2
-0.3371,-1.5342,-1.5708+0.9924i,0.02,0.066667,12,HbO2
-0.097311,1.5678,1.5708-1.0207i,0.02,0.083333,12,HbO2
1.5708,0,0+0i,0,0.83333,12,HbO2
