-0.4884,-1.4929,-1.5708+0.95608i,0.02,0.016667,1,Hb
0.2238,1.5548,1.5708-1.0099i,0.02,0.05,1,Hb
1.5708,0,0+0i,0,0.21667,1,Hb
-0.34117,-1.5333,-1.5708+0.99163i,0.02,0.51667,1,Hb
0.023051,1.5706,1.5708-1.0231i,0.02,0.55,1,Hb
1.5708,0,0+0i,0,0.21667,2,Hb
1.5708,0,0+0i,0,0.21667,4,Hb
-0.22141,-1.5551,-1.5708+1.0102i,0.02,0.016667,5,Hb
1.5708,0,0+0i,0,0.21667,5,Hb
-0.061313,-1.5696,-1.5708+1.0222i,0.02,0.51667,5,Hb
1.5708,0,0+0i,0,0.21667,6,Hb
1.5708,0,0+0i,0,0.21667,7,Hb
1.5708,0,0+0i,0,0.21667,8,HbO2
1.5708,0,0+0i,0,0.21667,9,HbO2
1.5708,0,0+0i,0,0.21667,10,HbO2
0.70561,1.4034,1.5708-0.87047i,0.02,0.05,11,HbO2
1.5708,0,0+0i,0,0.21667,11,HbO2
-0.41612,-1.5147,-1.5708+0.97544i,0.02,0.51667,11,HbO2
0.52782,1.4795,1.5708-0.94382i,0.02,0.55,11,HbO2
1.5708,0,0+0i,0,0.21667,12,HbO2
